"id","title","price","audit_status","audit_reason","link"
"1692455123","%100 mdf dolap kapıda ödeme kişiye özel yapılır","1 TL","flagged","Ticari Satıcı: ""imalattan""","https://www.letgo.com/item/100-mdf-dolap-kapda-odeme-kisiye-ozel-yaplr-iid-1692455123"
"1713096204","dolap ful mdf ürün","1 TL","flagged","Ticari Satıcı: ""imalattan""","https://www.letgo.com/item/dolap-ful-mdf-urun-iid-1713096204"
"1645352094","Dolap, portmanto, vestiyer, yatak odası","1 TL","flagged","Ticari Satıcı: ""kredi kartı""","https://www.letgo.com/item/dolap-portmanto-vestiyer-yatak-odas-iid-1645352094"
"1712160570","MİNA EKO SERİSİ DOLAP ÖLÇÜLERİ3 Kapaklıların ölçüsü : G 115 Y 210 D 53","1 TL","flagged","Bedava kanıtı yok (Fake Free)","https://www.letgo.com/item/mina-eko-serisi-dolap-olculeri3-kapakllarn-olcusu-g-115-y-210-d-53-iid-1712160570"
"1717052383","2 KAPILI DOLAP | ART HOME MOBİLYA","1 TL","flagged","Ticari Satıcı: ""renk seçenekleri""","https://www.letgo.com/item/2-kapili-dolap-art-home-mobilya-iid-1717052383"
"1670783002","Arçelik çamaşır makinesi 7 kiloluk 1000 devir","1 TL","flagged","Bedava kanıtı yok (Fake Free)","https://www.letgo.com/item/arcelik-camasr-makinesi-7-kiloluk-1000-devir-iid-1670783002"
"1662856186","Ariston kurutmali çamaşır makinesi parcalari","1 TL","flagged","Bedava kanıtı yok (Fake Free)","https://www.letgo.com/item/ariston-kurutmali-camasr-makinesi-parcalari-iid-1662856186"
"1721562294","çamaşır makinesi","1 TL","flagged","Bedava kanıtı yok (Fake Free)","https://www.letgo.com/item/camasr-makinesi-iid-1721562294"
"1724009374","ARIZALI Wd8122cvd Samsung çamaşır makinesi
","1 TL","flagged","Yasaklı kelime: ""satılık""","https://www.letgo.com/item/arizali-wd8122cvd-samsung-camasr-makinesi-iid-1724009374"
"1725236916","çamaşır makinesi tertemiz uygun fiyat kaliteli ürün","1 TL","flagged","Bedava kanıtı yok (Fake Free)","https://www.letgo.com/item/camasr-makinesi-tertemiz-uygun-fiyat-kaliteli-urun-iid-1725236916"
"1724873788","çamaşır makinesi kazan tamiri","1 TL","flagged","Bedava kanıtı yok (Fake Free)","https://www.letgo.com/item/camasr-makinesi-kazan-tamiri-iid-1724873788"
"1722648437","toplu beyaz eşya karışık","1 TL","flagged","Bedava kanıtı yok (Fake Free)","https://www.letgo.com/item/toplu-beyaz-esya-karsk-iid-1722648437"
"1723368173","kücükcekmece sefakoy satlık çamaşır makinesi. yazin fiyati konuşalım","7 TL","flagged","Gerçekçi Olmayan Fiyat: 7 TL","https://www.letgo.com/item/kucukcekmece-sefakoy-satlk-camasr-makinesi-yazin-fiyati-konusalm-iid-1723368173"
"1711578534","antika kilim halı","10 TL","flagged","Şüpheli m2 fiyatı olasılığı: 10 TL","https://www.letgo.com/item/antika-kilim-hal-iid-1711578534"
"1723713674","Halı-kilim
","250 TL","flagged","Yasaklı kelime: ""adet fiyatı""","https://www.letgo.com/item/hal-kilim-iid-1723713674"
"1723737181","Her türlü el dokuma halı kilim yoluk yastık ısparta köy halısı alınır","1 TL","flagged","Bedava kanıtı yok (Fake Free)","https://www.letgo.com/item/her-turlu-el-dokuma-hal-kilim-yoluk-yastk-sparta-koy-hals-alnr-iid-1723737181"
"1715329825","oval yıkanabilir halı
","250 TL","flagged","Yasaklı kelime: ""fiyatı ""","https://www.letgo.com/item/oval-ykanabilir-hal-iid-1715329825"
"1722357259","2 adet halı
","250 TL","flagged","Yasaklı kelime: ""fiyatı ""","https://www.letgo.com/item/2-adet-hal-iid-1722357259"
"1723228473","Modern Çizgili Çerçeveli Halı | Kaymaz Taban | Özel Ölçü Salon ve Kori","12 TL","flagged","Ticari Satıcı: ""özel ölçü""","https://www.letgo.com/item/modern-cizgili-cerceveli-hal-kaymaz-taban-ozel-olcu-salon-ve-kori-iid-1723228473"
"1723322813","lokanta dış mekan masa ve sandelye
","1 TL","flagged","Yasaklı kelime: ""fiyatı ""","https://www.letgo.com/item/lokanta-ds-mekan-masa-ve-sandelye-iid-1723322813"
"1723870723","masa sandalye
","1 TL","flagged","Bedava kanıtı yok (Fake Free)","https://www.letgo.com/item/masa-sandalye-iid-1723870723"
"1723863733","masa sandalye
","1 TL","flagged","Bedava kanıtı yok (Fake Free)","https://www.letgo.com/item/masa-sandalye-iid-1723863733"
"1723722702","masa sandalye
","1 TL","flagged","Bedava kanıtı yok (Fake Free)","https://www.letgo.com/item/masa-sandalye-iid-1723722702"
"1723723291","masa sandalye
","1 TL","flagged","Bedava kanıtı yok (Fake Free)","https://www.letgo.com/item/masa-sandalye-iid-1723723291"
"1719322125","masa sandalye imalattan
","1 TL","flagged","Ticari Satıcı: ""imalattan""","https://www.letgo.com/item/masa-sandalye-imalattan-iid-1719322125"
"1719322157","masa sandalye imalattan
","1 TL","flagged","Ticari Satıcı: ""imalattan""","https://www.letgo.com/item/masa-sandalye-imalattan-iid-1719322157"
"1719322082","masa sandalye imalattan
","1 TL","flagged","Ticari Satıcı: ""imalattan""","https://www.letgo.com/item/masa-sandalye-imalattan-iid-1719322082"
"1719322226","masa sandalye imalattan
","1 TL","flagged","Ticari Satıcı: ""imalattan""","https://www.letgo.com/item/masa-sandalye-imalattan-iid-1719322226"
"1719322193","masa sandalye imalattan
","1 TL","flagged","Ticari Satıcı: ""imalattan""","https://www.letgo.com/item/masa-sandalye-imalattan-iid-1719322193"
"1719322262","masa sandalye imalattan renk seçenekleri mevcut
","1 TL","flagged","Ticari Satıcı: ""imalattan""","https://www.letgo.com/item/masa-sandalye-imalattan-renk-secenekleri-mevcut-iid-1719322262"
"1715669261","Ahşap masa sandalye takımı
","1 TL","flagged","Yasaklı kelime: ""fiyatı ""","https://www.letgo.com/item/ahsap-masa-sandalye-takm-iid-1715669261"
"1721346984","İMALATTAN MASA SANDALYE TAKIMI
","1 TL","flagged","Ticari Satıcı: ""toptan""","https://www.letgo.com/item/imalattan-masa-sandalye-takimi-iid-1721346984"
"1721345495","İMALATTAN SALON MASA SANDALYE
","1 TL","flagged","Ticari Satıcı: ""toptan""","https://www.letgo.com/item/imalattan-salon-masa-sandalye-iid-1721345495"
"1721345597","İMALATTAN BOHEM MASA SANDALYE
","1 TL","flagged","Ticari Satıcı: ""toptan""","https://www.letgo.com/item/imalattan-bohem-masa-sandalye-iid-1721345597"
"1720733974","Cafe Masa ve Sandalye Takımı
","1 TL","flagged","Ticari Satıcı: ""renk seçenekleri""","https://www.letgo.com/item/cafe-masa-ve-sandalye-takm-iid-1720733974"
"1721345384","İMALATTAN CAFE RESTAURANT MASA SANDALYE
","1 TL","flagged","Ticari Satıcı: ""toptan""","https://www.letgo.com/item/imalattan-cafe-restaurant-masa-sandalye-iid-1721345384"
"1682713188","Kafe büfe masa sandalye
","1 TL","flagged","Bedava kanıtı yok (Fake Free)","https://www.letgo.com/item/kafe-bufe-masa-sandalye-iid-1682713188"
"1698440289","cafe masa sandalye toptan
","1 TL","flagged","Ticari Satıcı: ""toptan""","https://www.letgo.com/item/cafe-masa-sandalye-toptan-iid-1698440289"
"1722498037","ahşap masa sandalye sedir köşe takımı
","5 TL","flagged","Ticari Satıcı: ""imalattan""","https://www.letgo.com/item/ahsap-masa-sandalye-sedir-kose-takm-iid-1722498037"
"1718925668","koltuk masa sandalye
","5 TL","flagged","Ticari Satıcı: ""imalattan""","https://www.letgo.com/item/koltuk-masa-sandalye-iid-1718925668"
